species,mtdna.length,cds.count.ncbi,trna.count.ncbi,rrna.count.ncbi,sum
Choristoneura pinus pinus,15536,13,22,2,37
Hyporhamphus quoyi,16525,13,22,2,37
Populicerus populi,16494,13,22,2,37
Paragonimus heterotremus,13927,12,22,2,36
Ovis nivicola lydekkeri,16471,13,22,2,37
Ovis dalli,16464,13,22,2,37
Thrips palmi,15333,13,22,2,37
Pristis pristis,16912,13,22,2,37
Proechimys simonsi,16754,13,22,2,37
Ligula intestinalis,13621,12,22,2,36
Digramma interrupta,13685,12,22,2,36
Histia rhodope,15209,13,22,2,37
Pseudocalotes microlepis,17873,13,22,2,37
Cassiopea xamachana,15949,15,2,2,19
Ceraesignum maximum,15578,13,22,2,37
Obscurella hidalgoi,15536,13,22,2,37
Monoplex parthenopeus,15270,13,22,2,37
Sarcophaga impatiens,15169,13,22,2,37
Bivetiella cancellata,16648,13,22,2,37
Tritia reticulata,15271,13,22,2,37
Nassarius variciferus,15269,13,22,2,37
Margarya oxytropoides,17044,13,22,2,37
Nepenthes ventricosa x Nepenthes alata,520764,37,18,3,58
Hygrophorus russula,55769,22,26,2,50
Styphnolobium japonicum,484916,32,21,3,56
Usnea mutabilis,61314,16,27,2,45
Babesia duncani,5893,3,0,6,9
Cladonia subtenuis,59878,19,26,2,47
Leucaena trichandra,722009,38,18,4,60
Eimeria furonis,6165,3,0,31,34
Pinus taeda,1191054,39,38,6,83
Hannaella oryzae,26444,17,23,2,42
Leiosporoceros dussii,212153,23,23,3,49
Chrysanthemum boreale,211002,32,19,3,54
Glycine soja,402545,88,20,2,110
Polytrichum commune,114831,40,24,3,67
Puccinia striiformis f. sp. tritici,101521,14,24,0,38
Ammopiptanthus mongolicus,475396,79,44,3,126
Cladonia leporina,50045,21,28,2,51
Cladonia petrophila,53100,17,25,2,44
Oxymeris dimidiata,16513,13,22,2,37
Colpocephalum griffoneae,14873,13,22,2,37
Echinostoma miyagawai,14416,12,22,2,36
Paruterina candelabraria,13634,12,22,2,36
Trichogramma japonicum,15962,13,22,2,37
Trichogramma ostriniae,16472,13,22,2,37
Psittiparus gularis,17109,13,22,2,37
Picumnus innominatus,17180,13,22,2,37
Niltava davidi,16770,13,22,2,37
Anopheles aconitus,15359,13,22,2,37
Diploderma flaviceps,17140,13,22,2,37
Chionodraco rastrospinosus,17598,13,22,2,37
Proechimys gardneri,16818,13,22,2,37
Proechimys goeldii,16784,13,22,2,37
Proechimys kulinae,16833,13,22,2,37
Proechimys mincae,16626,13,22,2,37
Proechimys pattoni,16814,13,22,2,37
Proechimys poliopus,16642,13,22,2,37
Proechimys steerei,16727,13,22,2,37
Proechimys trinitatis,16632,13,22,2,37
Bathymodiolus securiformis,17199,13,24,2,39
Sardinella lemuru,16616,13,22,2,37
Bourletiella arvalis,14794,13,22,2,37
Nilssonia nigricans,16796,13,22,2,37
Macrosteles quadrimaculatus,15734,13,22,2,37
Glyptothorax macromaculatus,16535,13,22,2,37
Perumytilus purpuratus,16464,13,25,2,40
Anoplolepis gracilipes,16943,13,22,2,37
Micronecta sahlbergii,15005,13,22,2,37
Paradoxurus hermaphroditus,16706,13,22,2,37
Caridina indistincta A,15461,13,22,2,37
Sinocyclocheilus tingi,16584,13,22,2,37
Epeorus herklotsi,15502,13,23,2,38
Lepidotrema longipenis,15433,12,22,2,36
Echinoecus nipponicus,16173,13,22,2,37
Mustelus mustelus,16755,13,22,2,37
Talpa occidentalis,16962,13,22,2,37
Hymenocera picta,15786,13,22,2,37
Palpita hypohomalia,15271,13,22,2,37
Orithyia sinica,15568,13,22,2,37
Thalamita sima,15831,13,22,2,37
Belzebub intermedius,16001,13,22,2,37
Idioscopus clypealis,15393,13,22,2,37
Cylicocyclus radiatus,13836,12,22,2,36
Pseudocrangonyx daejeonensis,15069,13,22,2,37
Bothrops pubescens,17694,13,23,2,38
Bothrops diporus,17642,13,22,2,37
Neolucanus maximus,16601,13,22,2,37
Pteromalus puparum,18217,13,23,2,38
Hycleus cichorii,15847,13,22,2,37
Tachaea chinensis,14616,13,21,2,36
Triaenodes tardus,14963,13,22,2,37
Cacoplistes rogenhoferi,16018,13,22,2,37
Meloimorpha japonica,15880,13,22,2,37
Ornebius bimaculatus,16136,13,22,2,37
Ornebius kanetataki,16589,13,22,2,37
Eudorcas thomsonii,16761,13,22,2,37
Neotoma magister,16310,13,22,2,37
Panulirus argus,15739,13,22,2,37
Laqueus japonicus,14267,13,22,2,37
Budorcas taxicolor tibetana,16665,13,22,2,37
Plutella australiana,15962,13,22,2,37
Ornithodoros sonrai,14430,13,22,2,37
Dichotomius schiffleri,14802,13,22,2,37
Adelpha iphiclus,15263,13,22,2,37
Athyma kanwa,15278,13,22,2,37
Parasarpa zayla,15269,13,22,2,37
Athyma jina,15202,13,22,2,37
Inflata indica,16150,13,22,2,37
Oostethus manadensis,16527,13,22,2,37
Glyptothorax laosensis,16539,13,22,2,37
Cyrtotrachelus buqueti,15035,13,21,2,36
Abscondita anceyi,16519,13,22,2,37
Apis andreniformis,16694,13,22,2,37
Ophraella communa,16553,13,22,2,37
Monolepta quadriguttata,16130,13,22,2,37
Aulacophora lewisii,15691,13,22,2,37
Ichthyoxenos japonensis,15440,13,21,2,36
Phryganea cinerea,15043,13,22,2,37
Appias remedios,15118,13,22,2,37
Ephestia elutella,15346,13,22,2,37
Macropus fuliginosus,16881,13,22,2,37
Oligoryzomys stramineus,16314,13,22,2,37
Asio otus,17555,13,22,2,37
Ornebius fuscicerci,16368,13,22,2,37
Idiocerus laurifoliae,16811,13,22,2,37
Mantella baroni,20945,13,24,2,39
Somena scintillans,15410,13,22,2,37
Sinocyclocheilus wumengshanensis,16585,13,22,2,37
Geospiza magnirostris,16798,13,22,2,37
Mantispa japonica,16106,13,22,2,37
Eumantispa harmandi,15741,13,22,2,37
Euclimacia badia,15899,13,22,2,37
Sebastes rubrivinctus,16895,13,22,2,37
Sebastes nigrocinctus,16922,13,22,2,37
Sebastes aleutianus,16977,13,22,2,37
Cyathocotyle prussica,13665,12,22,2,36
Grammodes geometrica,15728,13,22,2,37
Sperchon plumifer,14646,13,22,2,37
Atlantisia rogersi,17337,13,22,2,37
Lanius tigrinus,16817,13,22,2,37
Thryssa vitrirostris,16975,13,22,2,37
Tanakia latimarginata,16568,13,22,2,37
Carinotetraodon travancoricus,16487,13,22,2,37
Nemorilla maculosa,16638,13,22,2,37
Exorista civilis,15376,13,23,2,38
Sarcophaga dux,15731,13,22,2,37
Sarcophaga antilope,15196,13,22,2,37
Rhipicentor nuttalli,14779,13,22,2,37
Ornithodoros turicata,14458,13,22,2,37
Ornithodoros tholozani,14407,13,22,2,37
Ornithodoros parkeri,14437,13,22,2,37
Ornithodoros hermsi,14430,13,22,2,37
Parvasolenaia rivularis,16613,13,22,2,37
Dendrolimus houi,15381,13,22,2,37
Dendrolimus superans,15417,13,22,2,37
Falco amurensis,17464,13,22,2,37
Perdix perdix,16699,13,22,2,37
Octopus cyanea,15950,13,22,0,35
Callistoctopus luteus,15961,13,22,2,37
Semibalanus balanoides,15119,13,22,2,37
Ornithodoros coriaceus,14423,13,22,2,37
Adelpha ethelda,15350,13,22,2,37
Parasarpa zulema,15297,13,22,2,37
Moduza lysanias,15238,13,22,2,37
Chalinga pratti,15290,13,22,2,37
Limenitis weidemeyerii,15199,13,22,2,37
Limenitis glorifica,15177,13,22,2,37
Tacola eulimene,15669,13,22,2,37
Limenitis reducta,15175,13,22,2,37
Limenitis camilla,15129,13,22,2,37
Limenitis elwesi,15214,13,22,2,37
Limenitis archippus,15220,13,22,2,37
Limenitis arthemis,15279,13,22,2,37
Athyma pravara,15100,13,22,2,37
Limenitis ciocolatina,15214,13,22,2,37
Athyma punctata,15240,13,22,2,37
Athyma recurva,15189,13,22,2,37
Litinga mimica,15183,13,22,2,37
Parasarpa albomaculata,15272,13,22,2,37
Athyma disjuncta,15198,13,22,2,37
Litinga cottini,15205,13,22,2,37
Limenitis populi,15219,13,22,2,37
Athyma nefte,15438,13,22,2,37
Athyma fortuna,15192,13,22,2,37
Limenitis cleophas,15228,13,22,2,37
Auzakia danava,15367,13,22,2,37
Athyma ranga,15265,13,22,2,37
Limenitis lorquini,15228,13,22,2,37
Adelpha bredowii,15187,13,22,2,37
Athyma libnites,15216,13,22,2,37
Tacola larymna,15503,13,22,2,37
Anser albifrons frontalis,16740,12,22,2,36
Indicator maculatus,16841,13,22,2,37
Jynx ruficollis,16825,13,22,2,37
Megalaima virens,16788,13,22,2,37
Prodotiscus insignis,16811,13,22,2,37
Glyptothorax granosus,16540,13,22,2,37
Glyptothorax lanceatus,16541,13,22,2,37
Glyptothorax longinema,16537,13,22,2,37
Sanghuangporus sanghuang,112060,14,27,2,43
Synarthrophyton chejuense,28264,25,25,2,52
Neogoniolithon spectabile,26050,21,21,2,44
Parmotrema ultralucens,79456,14,26,2,42
Coniothyrium glycines,98533,35,30,2,67
Eucalyptus grandis,478813,38,20,4,62
Gymnomitrion concinnatum,162572,42,28,3,73
Gelidium gabrielsonii,24964,23,20,2,45
Gelidium kathyanniae,24963,23,20,2,45
Ulva expansa,64143,36,27,2,65
Hirsutella thompsonii,62509,30,27,2,59
Aspergillus luchuensis,31228,16,26,2,44
Conus betulinus,16240,13,22,2,37
Cervus elaphus kansuensis,16430,13,22,2,37
Periplaneta brunnea,15604,13,22,2,37
Tridacna derasa,20760,13,23,2,38
Apostictopterus fuliginosus,15417,13,22,2,37
Barca bicolor,15574,13,22,2,37
Suhpalacsa longialata,15911,13,22,2,37
Orancistrocerus aterrimus,17972,13,23,2,38
Rhyticeros undulatus,17842,13,22,2,37
Cerithidea obtusa,15708,13,22,2,37
Arcyptera meridionalis,15776,13,22,2,37
Clemelis pullata,15225,13,22,2,37
Pleoticus muelleri,16189,13,22,2,37
Mongoloniscus sinensis,16018,13,19,2,34
Xiphidiopsis gurneyi,16225,13,22,2,37
Freyastera benthophila,16175,13,22,2,37
Lasiommata deidamia,15244,13,22,2,37
Ochotona koslowi,16909,13,22,2,37
Aphis fabae mordvilkoi,15346,13,22,2,37
Parasesarma affine,15638,13,22,2,37
Gobiopterus lacustris,16593,13,22,2,37
Ardea insignis,18656,13,23,2,38
Indicator xanthonotus,17603,13,22,2,37
Erythrogenys gravivox,16963,13,22,2,37
Stereobalanus canadensis,17366,13,23,2,38
Schizocardium brasiliense,15416,13,22,2,37
Glossobalanus marginatus,16827,13,22,2,37
Cosmoscarta bispecularis,15024,13,22,2,37
Cosmoscarta dorsimacula,15677,13,22,2,37
Parabreviscolex niepini,15034,12,22,2,36
Chiroteuthis picteti,20851,18,23,2,43
Roisinitermes ebogoensis,15933,13,22,2,37
Simulium maculatum,15799,13,22,2,37
Tremex columba,16397,13,22,2,37
Portunus gracilimanus,15990,13,22,2,37
Alveopora japonica,18144,13,2,2,17
Montipora efflorescens,17886,13,2,2,17
Neodon fuscus,16328,13,22,2,37
Metapenaeopsis barbata,15973,13,22,2,37
Penaeus latisulcatus,15971,13,22,2,37
Cacatua pastinator,19041,14,25,2,41
Ophioplinthus gelida,18387,13,22,2,37
Astrotoma agassizii,16464,13,22,2,37
Gorgonocephalus chilensis,16361,13,22,2,37
Ophioceres incipiens,18107,13,22,2,37
Ophionotus victoriae,15932,13,22,2,37
Ophioplinthus brevirima,15967,13,23,2,38
Ophiosteira antarctica,16979,13,22,2,37
Eolophus roseicapillus,18982,13,24,2,39
Hydrodamalis gigas,16872,13,22,2,37
Halichondria panicea,19571,14,25,2,41
Echinophyllia aspera,17697,13,3,2,18
Bremia lactucae,39302,42,26,2,70
Clavelina oblonga,14603,13,24,2,39
Penion maximus,15249,13,22,2,37
Clithon retropictum,15814,13,22,2,37
Halcampoides purpureus,18038,15,2,2,19
Cladosiphon okamuranus,38419,37,24,3,64
Podospora comata,82766,42,27,2,71
Homogryllacris anelytra,15706,13,22,2,37
Limnonectes fujianensis,18293,13,23,2,38
Mesoplodon europaeus,16343,13,22,2,37
Mesoplodon densirostris,16347,13,22,2,37
Onchocerca ochengi,13744,12,22,2,36
Apis laboriosa,15510,13,22,2,37
Gecarcoidea natalis,15545,13,22,2,37
Gorilla gorilla,16364,13,22,2,37
Homo sapiens neanderthalensis,16565,13,22,2,37
Epinephelus moara x Epinephelus tukula,16695,13,22,2,37
Saccharina japonica x Saccharina longissima,37657,38,24,3,65
Gallus gallus spadiceus,16784,13,22,2,37
Peromyscus maniculatus bairdii,16322,13,22,2,37
Hirsutella rhossiliensis,62483,24,26,2,52
Oenanthe isabellina,16812,13,22,2,37
Nycticebus coucang insularis,16765,13,22,2,37
Heterorhabditis indica,18128,12,22,2,36
Ceratophyllus wui,18081,13,22,2,37
Homatula berezowskii,16570,13,22,2,37
Microphysogobio sp. XZ-2015,16607,13,22,2,37
Chrysiptera biocellata,16935,13,22,2,37
Lophophorus impejanus,16709,13,22,2,37
Heterocarpus ensifer,15939,13,22,2,37
Bitias brevis,15891,13,22,2,37
Mesabolivar sp. ITV1036I1,14941,13,22,2,37
Mesabolivar sp. ITV1036I3,14727,13,22,2,37
Cheilodipterus quinquelineatus,16537,13,22,2,37
Chaetodon octofasciatus,16485,13,22,2,37
Parus major,16777,13,22,2,37
Schizosaccharomyces cryophilus,32669,12,24,2,38
Paravannella minima,53464,45,23,2,70
Conidiobolus heterosporus,53364,37,26,2,65
Gelidium coulteri,24963,23,20,2,45
Eleusine indica,520691,34,24,6,64
Acacia ligulata,698138,38,22,3,63
Rattus nitidus,16297,13,22,2,37
Triodia sylvina,15040,13,22,2,37
Mobula tarapacana,15686,13,22,2,37
Myllocerinus aurolineatus,17762,13,22,2,37
Buccinum undatum,15265,13,22,2,37
Rhagologus leucostigma,17044,13,22,2,37
Acanthopagrus schlegelii x Pagrus major,16649,13,22,2,37
Benthodytes marianensis,17567,13,22,2,37
Partulina redfieldi,16879,13,22,2,37
Nagiella inferior,15348,13,22,2,37
Xizicus maculatus,16358,13,22,2,37
Carpodacus rubicilloides,16805,13,22,2,37
Metaplax longipes,16305,13,22,2,37
Nanosesarma minutum,15637,13,22,2,37
Mergus merganser,16630,13,22,2,37
Euphausia superba,16591,13,21,2,36
Calidris ruficollis,16860,13,22,2,37
Yuhina nigrimenta,17817,13,22,2,37
Holbrookia lacerata,16705,13,22,2,37
Ulva compressa,62477,43,28,2,73
Populus alba,838420,54,22,3,79
Chenopodium quinoa,315003,30,21,3,54
Morus notabilis,362069,26,25,3,54
Greenidea psidii,16202,13,22,2,37
Haliaeetus albicilla,17719,13,22,2,37
Heterobasidion irregulare,114193,28,26,2,56
Guaruba guarouba,17008,13,22,2,37
Aratinga solstitialis,16984,13,22,2,37
Orbilia oligospora,160613,56,24,2,82
Drechslerella brochopaga,193195,79,22,2,103
Gyrodactylus gurleyi,14771,12,22,2,36
Corvus cornix cornix,16946,13,22,2,37
Elaphe dione,17172,13,22,2,37
Sarcophaga ruficornis,14938,13,22,2,37
Oxysarcodexia avuncula,14997,13,22,2,37
Oxysarcodexia terminalis,15613,13,22,2,37
Oxysarcodexia thornax,15237,13,22,2,37
Oxysarcodexia varia,15261,13,22,2,37
Dolichoderus sibiricus,16086,13,22,2,37
Haemaphysalis bancrofti,14673,13,22,2,37
Peckia resona,15122,13,22,2,37
Peckia australis,15205,13,22,2,37
Peckia collusor,15233,13,22,2,37
Liriomyza chinensis,16175,13,22,2,37
Gigantometra gigas,15348,13,22,2,37
Ixodes tasmani,15227,13,22,2,37
Trouessartia rubecula,14125,13,17,2,32
Chloris sinica,16812,13,22,2,37
Turdus kessleri,16754,13,22,2,37
Geochelone elegans,16446,13,22,2,37
Engraulis mordax,16664,13,22,2,37
Muntiacus feae,16355,13,22,2,37
Zophobas atratus,15494,13,22,2,37
Scopura longa,15798,13,22,2,37
Hydrillodes lentalis,15570,13,22,2,37
Pentacheles validus,16079,13,22,2,37
Anthus richardi,16871,13,22,2,37
Cardellina canadensis,16807,13,22,2,37
Clania variegata,15660,13,22,2,37
Traulia nigritibialis,15701,13,22,2,37
Stenocatantops splendens,15574,13,22,2,37
Choroedocus capensis,16293,13,22,2,37
Charadrius alexandrinus,16905,13,22,2,37
Cheliceroides longipalpis,14334,13,22,2,37
Yungipicus canicapillus,16843,13,22,2,37
Sitotroga cerealella,15312,13,22,2,37
Sphenomorphus incognitus,17417,13,22,2,37
Clostera anastomosis,15390,13,22,2,37
Trochalopteron milnei,17871,13,22,2,37
Pomacea diffusa,16373,13,22,2,37
Eristalis tenax,15996,13,22,2,37
Uropsilus andersoni,16528,13,22,2,37
Blarinella wardi,16951,13,22,2,37
Isopachys gyldenstolpei,17210,13,22,2,37
Parnassius apollonius,15381,13,22,2,37
Alpheus inopinatus,15789,13,22,2,37
Gebiacantha plantae,16771,13,22,2,37
Ibacus alticrenatus,15762,13,22,2,37
Ombrastacoides huonensis,17559,13,22,2,37
Puerulus angulatus,15688,13,22,2,37
Remiarctus bertholdii,15807,13,22,2,37
Thalassina squamifera,15532,13,22,2,37
Upogebia bowerbankii,15836,13,22,2,37
Nyctalus plancyi,17494,13,22,2,37
Glossaulax reiniana,15254,13,22,2,37
Gavia arctica,17066,13,22,2,37
Hoplasoma unicolor,14568,13,22,2,37
Macrohaltica subplicata,15840,13,22,2,37
Chaetocnema pelagica,16331,13,22,2,37
Henosepilachna vigintioctopunctata,17057,13,22,2,37
Encyrtus infelix,15698,13,22,2,37
Abudefduf bengalensis,16776,13,22,2,37
Acentrogobius caninus,16614,13,22,2,37
Halichoeres nigrescens,17252,13,22,2,37
Paratrypauchen microcephalus,16552,13,22,2,37
Chromodoris orientalis,14266,13,22,2,37
Artamus cinereus,16896,13,22,2,37
Cryptopone sauteri,15367,13,22,2,37
Neoeriocheir leptognathus,16143,13,22,2,37
Chiromantes dehaani,15917,13,22,2,37
Xenogryllus marmoratus,15762,13,23,2,38
Sitona obsoletus,17003,13,22,2,37
Precis andremiaja,15239,13,22,2,37
Salamis anteva,15201,13,22,2,37
Gasterosteus aculeatus,16543,13,22,2,37
Microtus agrestis,16297,13,22,2,37
Oceanodroma castro,17065,13,22,2,37
Psittacara leucophthalmus,16966,13,22,2,37
Elseya irwini,16480,13,22,2,37
Elseya lavarackorum,16485,13,22,2,37
Chelodina novaeguineae,16510,13,22,2,37
Chelodina burrungandjii,16520,13,22,2,37
Chelodina canni,16503,13,22,2,37
Elseya albagula,16441,13,22,2,37
Elseya dentata,16439,13,22,2,37
Elseya novaeguineae,16443,13,22,2,37
Elseya schultzei,16447,13,22,2,37
Chelodina colliei,16508,13,22,2,37
Chelodina steindachneri,16599,13,22,2,37
Emydura macquarii,16470,13,22,2,37
Kogia sima,16403,13,22,2,37
Narosa nigrisigna,15292,13,22,2,37
Umbonium thomasi,15998,13,22,2,37
Johnius borneensis,18630,13,25,2,40
Nassarius conoidalis,15332,13,22,2,37
Nassarius pullus,15278,13,22,2,37
Aspergillus pseudoglaucus,53882,30,26,2,58
Chlorosarcinopsis eremi,24905,7,3,9,19
Arthrobotrys musiformis,179060,72,18,1,91
Aspergillus parasiticus,29141,17,26,2,45
Orbilia dorsalia,191042,21,25,2,48
Cordyceps cicadae,56581,43,25,2,70
Guillardia theta,35013,36,27,2,65
Cynanchum auriculatum,426495,25,19,3,47
Vischeria stellata,42608,36,26,3,65
Dactylellina haptotyla,146101,19,26,1,46
Corallina ferreyrae,25953,23,23,2,48
[Candida] haemuloni,39519,0,0,0,0
Tragulus napu,15779,13,22,2,37
Plasmodium gonderi,5999,3,0,0,3
Dasyhippus barbipes,16111,13,22,2,37
Otus sunia,17835,13,22,2,37
Podagricomela nigricollis,16756,13,22,2,37
Macromia daimoji,15198,13,22,2,37
Pseudis tocantins,15564,13,22,2,37
Hippocampus camelopardalis,16523,13,22,2,37
Pseudobagrus pratti,16533,13,22,2,37
Styracaster yapensis,16360,13,22,2,37
Elephantulus edwardii,16552,13,22,2,37
Crotalus adamanteus,17242,13,22,2,37
Nassarius sinarum,15325,13,22,2,37
Nassarius foveolatus,15343,13,22,2,37
Nassarius javanus,15325,13,22,2,37
Nassarius jacksonianus,15234,13,22,2,37
Polyplacotoma mediterranea,23462,12,25,3,40
Hydrophasianus chirurgus,16855,13,22,2,37
Gallirallus striatus,17647,13,22,2,37
Rallus aquaticus,17149,13,22,2,37
Myotis frater,17089,13,22,2,37
Ectophylla alba,16656,13,22,2,37
Jaydia lineata,16506,13,22,2,37
Magicicada septendecim,14436,13,22,2,37
Magicicada neotredecim,14435,13,22,2,37
Magicicada tredecim,14435,13,22,2,37
Magicicada cassinii,14713,13,22,2,37
Magicicada tredecassini,14864,13,22,2,37
Magicicada septendecula,14453,13,22,2,37
Magicicada tredecula,14453,13,22,2,37
Palesisa nudioculata,16476,13,22,2,37
Piranga roseogularis,16782,13,22,2,37
Piranga rubra,16805,13,22,2,37
Piranga lutea,16803,13,22,2,37
Piranga flava,16814,13,22,2,37
Piranga hepatica,16806,13,22,2,37
Piranga olivacea,16810,13,22,2,37
Piranga ludoviciana,16804,13,22,2,37
Piranga bidentata,16808,13,22,2,37
Piranga erythrocephala,16802,13,22,2,37
Piranga rubriceps,16809,13,22,2,37
Piranga leucoptera,16795,13,22,2,37
Alcidodes juglans,15638,13,21,2,36
Sarotherodon linnellii,16634,13,22,2,37
Pungu maclareni,16565,13,22,2,37
Myaka myaka,16626,13,22,2,37
Konia dikume,16618,13,22,2,37
Sarotherodon lohbergeri,16634,13,22,2,37
Stomatepia pindu,16636,13,22,2,37
Boechera stricta,271601,31,21,3,55
Balbiania investiens,26389,25,23,1,49
Lecanora saxigena,56579,14,25,2,41
Lecanora cinereofusca,32357,14,25,2,41
Heterodermia casarettiana,84088,16,28,2,46
Hypsizygus marmoreus,102752,27,27,2,56
Armillaria sinapina,103563,44,25,2,71
Armillaria borealis,116433,47,26,2,75
Armillaria solidipes,122167,49,26,2,77
Helix pomatia,14072,13,22,2,37
Cylicodontophorus bicoronatus,13756,12,22,2,36
Chiromantes haematocheir,15899,13,22,2,37
Cydalima perspectalis,15232,13,22,2,37
Aristobia reticulator,15838,13,22,2,37
Metopograpsus frontalis,15587,13,22,2,37
Isonychia kiangsinensis,15456,13,22,2,37
Trichiurus haumela,16855,13,21,2,36
Bullacta exarata,13872,13,22,2,37
Metapenaeus joyneri,16008,13,22,2,37
Saccharosydne procerus,16031,13,22,2,37
Sogatella vibix,16554,13,22,2,37
Myoxocephalus scorpius,16626,13,22,2,37
Culicicapa ceylonensis,16851,13,22,2,37
Salvelinus fontinalis x Salvelinus malma,16622,13,22,2,37
Sorex minutissimus,17038,13,22,2,37
Callispa bowringii,17060,13,22,2,37
Antarctoperla michaelseni,16069,13,22,2,37
Neuroperla schedingi,16882,13,22,2,37
Erthesina fullo,16485,13,22,2,37
Etheostoma spectabile,16539,13,22,2,37
Diamphipnoa annulata,14882,13,22,2,37
Neonemura barrosi,14852,13,22,2,37
Rhopalopsole bulbifera,15599,13,22,2,37
Etisus anaglyptus,16435,13,22,2,37
Yunnanilus sichuanensis,16571,13,22,2,37
Euchiloglanis davidi,16569,13,22,2,37
Ompok pabda,16512,13,22,2,37
Channa punctata,16409,13,22,2,37
Astictopterus jama,15430,13,22,2,37
Isoteinon lamprospilus,15430,13,22,2,37
Notocrypta curvifascia,15546,13,22,2,37
Mesoplodon mirus,16342,13,22,2,37
Mesoplodon bidens,16347,13,22,2,37
Rana temporaria,16061,13,22,2,37
Numenius tenuirostris,16705,13,22,2,37
Paralithodes platypus,16883,13,22,2,37
Marmota flaviventris,16438,13,22,2,37
Rheodytes leukops,16460,13,22,2,37
Etheostoma flabellare,16656,13,22,2,37
Lepomis gulosus,16486,13,22,2,37
Carcharhinus falciformis,16677,13,22,2,37
Hoplobatrachus chinensis x Hoplobatrachus rugulosus,20282,14,23,2,39
Hyporhamphus dussumieri,16542,13,22,2,37
Hyporhamphus limbatus,16508,13,22,2,37
[Candida] duobushaemulonis,22443,0,0,0,0
Synchytrium endobioticum,72775,19,5,2,26
Lactuca serriola,363328,37,25,6,68
Nereocystis luetkeana,37399,37,24,2,63
Lactuca saligna,368269,39,25,6,70
Phlyctis petraea,49698,15,24,2,41
Adrisa magna,15935,13,22,2,37
Pseudoperonospora humuli,39087,40,25,2,67
Chloropicon primus,37892,35,25,2,62
Picocystis salinarum,41858,36,26,4,66
Chloropicon laureae,37769,35,25,2,62
Ameiurus nebulosus,16513,13,22,2,37
Pseudophyllus titan,16227,13,22,2,37
Truljalia hibinonis,15120,13,22,2,37
Oecanthus sinensis,16142,13,22,2,37
Chloropicon sieburthii,37591,35,25,2,62
Chloropicon roscoffensis,38736,34,25,2,61
Chloropicon mariensis,35545,34,25,2,61
Chloroparvula japonica,40432,36,24,2,62
Chloropicon maureeniae,36041,36,25,2,63
Chloroparvula pacifica,49744,38,25,2,65
Macrocystis integrifolia,37366,37,24,3,64
Rhizopogon salebrosus,66704,34,25,2,61
Rhizopogon vinicolor,77109,41,25,2,68
Lactuca sativa,363324,37,25,6,68
Schisandra sphenanthera,1101768,43,22,5,70
Desarmillaria tabescens,93439,15,26,2,43
Taiwanofungus camphoratus,114922,57,27,2,86
Laccaria amethystina,65156,23,25,2,50
Laccaria bicolor,95304,29,25,2,56
Cladonia macilenta,46553,15,19,2,36
Dumortiera hirsuta,178019,41,28,3,72
Synchytrium microbalum,23811,14,5,2,21
Spizellomyces sp. 'palustris',126474,41,12,2,55
Chytriomyces confervae,225604,18,7,2,27
Capsella rubella,287405,32,22,3,57
Corallina chilensis,25895,25,23,2,50
Dactylella tenuis,186056,74,24,2,100
Conepatus chinga,16513,13,22,2,37
Moschus leucogaster,16431,13,22,2,37
Poecilimon luschani,15568,13,22,2,37
Isophya major,15724,13,22,2,37
Gerbilliscus leucogaster,16332,13,22,2,37
Parantica aglea,15219,13,22,2,37
Camponotus concavus,16357,13,22,2,37
Micromus angulatus,16153,13,22,2,37
Ectomomyrmex javanus,15512,13,22,2,37
Tetraphleps aterrimus,15803,13,22,2,37
Panstrongylus rufotuberculatus,16331,13,22,2,37
Dendrocopos darjellensis,16864,13,22,2,37
Stolephorus waitei,16681,13,22,2,37
Pseudohelice subquadrata,16898,13,22,2,37
Notospermus geniculatus,15180,13,23,2,38
Acisoma panorpoides,15742,13,22,2,37
Deielia phaon,15281,13,22,2,37
Tramea virginia,15321,13,22,2,37
Blarina hylophaga,16755,13,22,2,37
Ovalipes punctatus,16084,13,22,2,37
Bactrocera biguttula,15829,13,22,2,37
Sinorhodeus microlepis,16591,13,22,2,37
Chrysichthys nigrodigitatus,16514,13,22,2,37
Uvitellina sp. SSS-2019,14217,12,22,2,36
Macropsis notata,16323,13,22,2,37
Engraulis ringens,16690,13,22,2,37
Stolephorus insularis,16711,13,22,2,37
Sitta himalayensis,16822,13,22,2,37
Sitta nagaensis,16828,13,22,2,37
Orthetrum melania,15715,13,22,2,37
Trigomphus carus,15135,13,22,2,37
Blarina brevicauda,16919,13,22,2,37
Megalonyx jeffersonii,15450,13,22,2,37
Megatherium americanum,15461,13,22,2,37
Amphiura digitula,16291,13,22,2,37
Pisaster ochraceus,16376,13,22,2,37
Acropora valida,18385,13,2,2,17
Pantherina griselda,16968,13,22,2,37
Blarinella cf. quadraticauda KIZ AL11069,17130,13,22,2,37
Acratocnus ye,15385,13,21,2,36
Nothrotheriops shastensis,15448,13,22,2,37
Parocnus serus,15449,13,22,2,37
Sinella curviseta,14840,13,22,2,37
Sarcophaga princeps,15981,13,22,2,37
Steno bredanensis,16386,13,22,2,37
Crocidura fuliginosa,16967,13,22,2,37
Dermacentor everestianus,15191,13,22,2,37
Psittacula eupatria,17139,13,22,2,37
Andrena chekiangensis,15804,13,22,2,37
Fucellia costalis,16175,13,22,2,37
Eleotris klunzingerii,16557,13,22,2,37
Gasterophilus haemorrhoidalis,14854,13,22,2,37
